DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LT,2014,13.1,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LT,2015,16.5,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LT,2016,17.0,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LT,2017,14.5,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LT,2018,13.1,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LT,2019,12.9,p
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LT,2020,14.0,p
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LU,2007,1.1,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LU,2008,-0.4,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LU,2009,-1.8,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LU,2010,-3.2,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LU,2014,-5.0,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LU,2018,-8.9,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LV,2010,15.8,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LV,2014,14.7,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LV,2015,16.4,d
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LV,2016,17.2,d
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LV,2017,18.8,d
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LV,2018,18.7,d
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LV,2019,19.8,p
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,LV,2020,21.2,p
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,ME,2014,1.8,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,MK,2014,5.3,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,MT,2007,1.9,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,MT,2008,3.0,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,MT,2009,4.1,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,MT,2010,5.1,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,MT,2011,3.5,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,MT,2012,5.2,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,MT,2013,6.6,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,MT,2014,5.8,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,MT,2015,7.6,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,MT,2016,8.2,
ESTAT:EARN_GR_GPGR2AG(1.0),25/02/22 23:00:00,A,PC,Y25-34,MT,2017,7.9,
